text,source,timestamp,label
At least the trial gave us iconic moments congrats queen,x.com,2025-09-23T03:00:00,positive
At least we got some good memes lol,x.com,2025-10-14T08:07:00,positive
BIG BRIM DID IT AGAIN ☺️.,x.com,2025-09-28T05:38:00,positive
EGGS IN YALL FACES ONCE AGAIN … YALL DOUBTED MY GIRL AGAIN AND FAILED.. BETTER LUCK NEXT TIME,x.com,2025-10-24T04:19:00,positive
Fan account served looks and justice was served.,x.com,2025-10-20T03:08:00,positive
I love how she told her fans “do not go harrass her or her family” I love that,x.com,2025-09-17T18:37:00,positive
I love that she told her fans not to bother her or her family,x.com,2025-10-08T19:16:00,positive
I really appreciated that she told her fans not to bother that woman. The jury made the right decision. This did seem like a frivolous case against a celebrity,x.com,2025-09-10T10:12:00,positive
"It should not have been a case. No woman should be filmed at the gynecologist's office by anyone, especially an employee, whether famous or not.",x.com,2025-10-14T12:33:00,positive
See how she told her fans not to harass that lady ?? It’s that simple,x.com,2025-08-28T21:06:00,positive
She gave you all a warning! Cardi does not play!,x.com,2025-09-14T19:54:00,positive
She served looks and won the case ? Oh Cardi the Queen that you are,x.com,2025-09-11T03:25:00,positive
THAT'S WHAT HAPPENS WHEN YOU'RE INNOCENT 😭😭😭,x.com,2025-10-06T09:48:00,positive
This was such a waste of everyone's time. That woman was clearly out for $$ and nothing else.,x.com,2025-10-25T17:12:00,positive
Well said Cardi. Definitely countersue next time bc this was a waste of everyone’s time.,x.com,2025-09-16T06:25:00,positive
Won a case while trolling in the process she might be my new goat,x.com,2025-09-25T21:08:00,positive
Yass 👏🏽👏🏽,x.com,2025-09-10T02:55:00,positive
Yesssss the reporter! “am I the drama”,x.com,2025-10-24T11:00:00,positive
You really can’t hate this woman 😂😂 Let this be a warning; don’t nobody come my way again with no frivolous shit cuz next time I will countersue. 😭😭😭,x.com,2025-09-26T13:25:00,positive
i love this woman so much.,x.com,2025-10-08T02:03:00,positive
"Cardi B was cleared of all charges in that security guard assault case.","x.com","2025-10-26T09:00:00","neutral"
"Jury found Cardi B not liable after about an hour. That was a quick verdict.","x.com","2025-10-26T09:05:00","neutral"
"So Cardi B won her trial. No $24 million payout, case closed.","x.com","2025-10-26T09:10:00","neutral"
"I’m not invested, but Cardi B getting cleared means there wasn’t enough proof.","x.com","2025-10-26T09:15:00","neutral"
"We’ll never really know what happened, but the court sided with Cardi.","x.com","2025-10-26T09:20:00","neutral"
"They deliberated for less time than a movie. Probably an easy decision.","x.com","2025-10-26T09:25:00","neutral"
"Trial’s over. Cardi B walks away with no charges. On to the next saga.","x.com","2025-10-26T09:30:00","neutral"
"I guess Cardi B was telling the truth if the jury cleared her.","x.com","2025-10-26T09:35:00","neutral"
"The security guard’s $24M lawsuit didn’t succeed. Jury clearly wasn’t convinced.","x.com","2025-10-26T09:40:00","neutral"
"She even said she’ll countersue the next person who tries it – she’s not playing.","x.com","2025-10-26T09:45:00","neutral"
"If you’re nodding off in court with $20M on the line, maybe you don’t take your freedom seriously enough.","x.com","2025-10-26T09:50:00","negative"
"Don’t matter how boring the trial is. You’re in a courtroom, show some respect.","x.com","2025-10-26T09:55:00","negative"
"She knew she had court, no excuse for dozing off. Drink a coffee next time, girl.","x.com","2025-10-26T10:00:00","negative"
"Not surprised she got off scot-free. Celebs always get away with everything, smh.","x.com","2025-10-26T10:05:00","negative"
"She definitely did it, tbh. Money talks, and she walked free — this verdict is BS.","x.com","2025-10-26T10:10:00","negative"
"Feel bad for the security guard. She lost her job and now no justice for her.","x.com","2025-10-26T10:15:00","negative"
"Emani Ellis just mad as hell that Cardi B won the case lmfaoo.","x.com","2025-10-26T10:20:00","negative"
"This whole lawsuit was frivolous from day one. What a waste of time.","x.com","2025-10-26T10:25:00","negative"
"Cardi out here gloating about countersuing people. That attitude is just gross.","x.com","2025-10-26T10:30:00","negative"
"She literally had a scar on her face and still Cardi walked free. Wow.","x.com","2025-10-26T10:35:00","negative"
