text,source,timestamp,label
At least the trial gave us iconic moments congrats queen,x.com,2025-09-23T03:00:00,positive
At least we got some good memes lol,x.com,2025-10-14T08:07:00,positive
BIG BRIM DID IT AGAIN ☺️.,x.com,2025-09-28T05:38:00,positive
EGGS IN YALL FACES ONCE AGAIN … YALL DOUBTED MY GIRL AGAIN AND FAILED.. BETTER LUCK NEXT TIME,x.com,2025-10-24T04:19:00,positive
Fan account served looks and justice was served.,x.com,2025-10-20T03:08:00,positive
I love how she told her fans “do not go harrass her or her family” I love that,x.com,2025-09-17T18:37:00,positive
I love that she told her fans not to bother her or her family,x.com,2025-10-08T19:16:00,positive
I really appreciated that she told her fans not to bother that woman. The jury made the right decision. This did seem like a frivolous case against a celebrity,x.com,2025-09-10T10:12:00,positive
"It should not have been a case. No woman should be filmed at the gynecologist's office by anyone, especially an employee, whether famous or not.",x.com,2025-10-14T12:33:00,positive
See how she told her fans not to harass that lady ?? It’s that simple,x.com,2025-08-28T21:06:00,positive
She gave you all a warning! Cardi does not play!,x.com,2025-09-14T19:54:00,positive
She served looks and won the case ? Oh Cardi the Queen that you are,x.com,2025-09-11T03:25:00,positive
THAT'S WHAT HAPPENS WHEN YOU'RE INNOCENT 😭😭😭,x.com,2025-10-06T09:48:00,positive
This was such a waste of everyone's time. That woman was clearly out for $$ and nothing else.,x.com,2025-10-25T17:12:00,positive
Well said Cardi. Definitely countersue next time bc this was a waste of everyone’s time.,x.com,2025-09-16T06:25:00,positive
Won a case while trolling in the process she might be my new goat,x.com,2025-09-25T21:08:00,positive
Yass 👏🏽👏🏽,x.com,2025-09-10T02:55:00,positive
Yesssss the reporter! “am I the drama”,x.com,2025-10-24T11:00:00,positive
You really can’t hate this woman 😂😂 Let this be a warning; don’t nobody come my way again with no frivolous shit cuz next time I will countersue. 😭😭😭,x.com,2025-09-26T13:25:00,positive
i love this woman so much.,x.com,2025-10-08T02:03:00,positive
